PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1012A649-020,Female,Standard,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1012A649-001,Female,Standard,,ANA_1012A649-001,ANA_1012A713-001,
ANA_1012A649-400,Female,Standard,,ANA_1012A649-400,ANA_1012A713-020,
ANA_1011A767-001,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A649-020,Female,Standard,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1011A767-001,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A713-020,Female,Wide,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1012A649-400,Female,Standard,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1012A649-002,Female,Standard,,ANA_1012A649-002,ANA_1012A713-020,
ANA_1012A885-412,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011A767-021,Male,Standard,,ANA_1011A767-021,ANA_1011A835-021,ANA_1011A833-021
ANA_1011A767-021,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A649-100,Female,Standard,,ANA_1012A649-100,ANA_1012A713-020,
ANA_1011A767-400,Male,Standard,,ANA_1011A767-400,ANA_1011A835-001,ANA_1011A833-001
ANA_1011A833-001,Male,Extra Wide,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012B047-021,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011A767-100,Male,Standard,,ANA_1011A767-100,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B189-001,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B047-021,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012A649-001,Female,Standard,,ANA_1012A649-020,ANA_1012A713-020,
ANA_1012A885-001,Female,Standard,,ANA_1012A885-001,ANA_1012A884-001,
ANA_1012B047-600,Female,Standard,ANA_1012B048-003,ANA_1012B047-600,ANA_1012B046-021,
ANA_1011A767-002,Male,Standard,,ANA_1011A767-002,ANA_1011A835-001,ANA_1011A833-002
ANA_1012A649-300,Female,Standard,,ANA_1012A649-300,ANA_1012A713-020,
ANA_1012A591-701,Female,Standard,ANA_1012A594-002,ANA_1012A591-701,ANA_1012A592-002,
ANA_1011B189-021,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012A885-002,Female,Standard,,ANA_1012A885-002,ANA_1012A884-002,
ANA_1012B047-600,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012B284-100,Female,Standard,,ANA_1012B284-100,ANA_1012B199-400,
ANA_1012A885-402,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011B359-002,Male,Standard,,ANA_1011B359-002,ANA_1011B361-001,ANA_1011B363-002
ANA_1011A767-600,Male,Standard,,ANA_1011A767-600,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A885-001,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011A767-401,Male,Standard,,ANA_1011A767-401,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B189-001,Male,Standard,,ANA_1011B189-001,ANA_1011B188-001,ANA_1011B191-001
ANA_1012B281-100,Female,Standard,,ANA_1012B281-100,ANA_1012B183-400,
ANA_1012A885-402,Female,Standard,,ANA_1012A885-402,ANA_1012A884-402,
ANA_1012A649-404,Female,Standard,,ANA_1012A649-404,ANA_1012A713-020,
ANA_1012A592-002,Female,Wide,ANA_1012A594-002,ANA_1012A591-002,ANA_1012A592-002,
ANA_1011B004-029,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1011B004-029,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012B201-700,Female,Standard,,ANA_1012B201-700,ANA_1012B199-400,
ANA_1012B047-100,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011A767-300,Male,Standard,,ANA_1011A767-300,ANA_1011A835-001,ANA_1011A833-001
ANA_1011B004-002,Male,Standard,,ANA_1011B004-002,ANA_1011B006-002,ANA_1011B005-002
ANA_1012A885-400,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1012A741-001,Female,Standard,,ANA_1012A741-001,ANA_1012A738-020,
ANA_1011A835-001,Male,Wide,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A885-400,Female,Standard,,ANA_1012A885-400,ANA_1012A884-412,
ANA_1012B047-003,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011B359-003,Male,Standard,,ANA_1011B359-003,ANA_1011B361-001,ANA_1011B363-002
ANA_1011B004-002,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012B201-001,Female,Standard,,ANA_1012B201-001,ANA_1012B199-400,
ANA_1012A741-400,Female,Standard,,ANA_1012A741-400,ANA_1012A738-020,
ANA_1012A859-023,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A862-002,
ANA_1012A859-023,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A861-400,
ANA_1011B189-400,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011A767-600,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012B047-702,Female,Standard,ANA_1012B048-003,ANA_1012B047-702,ANA_1012B046-702,
ANA_1012B201-100,Female,Standard,,ANA_1012B201-100,ANA_1012B199-400,
ANA_1012B047-001,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012B201-020,Female,Standard,,ANA_1012B201-020,ANA_1012B199-020,
ANA_1012A885-002,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1012B047-702,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012B047-402,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011B359-001,Male,Standard,,ANA_1011B359-001,ANA_1011B361-001,ANA_1011B363-002
ANA_1012B047-100,Female,Standard,ANA_1012B048-003,ANA_1012B047-100,ANA_1012B046-021,
ANA_1012B047-004,Female,Standard,ANA_1012B048-003,ANA_1012B047-004,ANA_1012B046-021,
ANA_1012A741-020,Female,Standard,,ANA_1012A741-020,ANA_1012A738-020,
ANA_1012B047-003,Female,Standard,ANA_1012B048-003,ANA_1012B047-003,ANA_1012B046-003,
ANA_1011B189-003,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B189-402,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B189-021,Male,Standard,,ANA_1011B189-021,ANA_1011B188-021,ANA_1011B191-021
ANA_1012B284-100,Female,Standard,,ANA_1012B284-100,ANA_1012B199-400,
ANA_1011B005-001,Male,Extra Wide,,ANA_1011B004-001,ANA_1011B006-001,ANA_1011B005-001
ANA_1041A113-404,Male,Wide,,ANA_1041A079-404,ANA_1041A113-404,
ANA_1012B047-020,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012B201-600,Female,Standard,,ANA_1012B201-600,ANA_1012B199-400,
ANA_1011B040-001,Male,Standard,,ANA_1011B040-001,,ANA_1011B039-001
ANA_1012A859-403,Female,Standard,ANA_1012A863-400,ANA_1012A859-403,ANA_1012A862-002,
ANA_1012A859-403,Female,Standard,ANA_1012A863-400,ANA_1012A859-403,ANA_1012A861-400,
ANA_1011A767-300,Male,Standard,,ANA_1011A767-001,ANA_1011A835-001,ANA_1011A833-001
ANA_1012A911-001,Female,Standard,,ANA_1012A911-001,ANA_1012A910-001,
ANA_1012B201-400,Female,Standard,,ANA_1012B201-400,ANA_1012B199-400,
