PRODUCT_GENDER,STYLE_NUMBER,PRODUCT_URL,PRODUCT_NAME_C,PRODUCT_NAME_CLEAN,PRODUCT_COLOR,PRODUCT_WIDTH,ORDERS,PRODUCT_URL_NARROW,PRODUCT_URL_STANDARD,PRODUCT_URL_WIDE,PRODUCT_URL_EXTRAWIDE
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,GEL-KAYANO 27,GEL-KAYANO 27,SHEET ROCK/PURE SILVER,Standard,5161,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-001.html,GEL-KAYANO 27,GEL-KAYANO 27,BLACK/PURE SILVER,Standard,3704,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-001.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-001.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-400.html,GEL-KAYANO 27,GEL-KAYANO 27,MAKO BLUE/HOT PINK,Standard,3681,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-400.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,GEL-KAYANO 27,GEL-KAYANO 27,,Standard,3143,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,GEL-KAYANO 27,GEL-KAYANO 27,BLACK/PURE SILVER,Standard,3143,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,GEL-KAYANO 27,GEL-KAYANO 27,,Standard,3052,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Female,1012A713,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,GEL-KAYANO 27 (D),GEL-KAYANO 27,SHEET ROCK/PURE SILVER,Wide,2619,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-400.html,GEL-KAYANO 27,GEL-KAYANO 27,,Standard,2466,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-020.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-002.html,GEL-KAYANO 27,GEL-KAYANO 27,BLACK/BLACK,Standard,2428,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-002.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,GEL-NIMBUS 23,GEL-NIMBUS 23,MIST/BLAZING CORAL,Standard,2395,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
