GENDER,CATEGORY,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE
MEN,TRAINING,2031C668_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,2031C669_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,,,,1011B025_600,HYPER SPEED,SUNRISE RED,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C669_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,2031C668_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,,,,1011B025_600,HYPER SPEED,SUNRISE RED,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C670_402,LIMOﾋｰﾄﾌﾘｰｽﾌｰﾃﾞｲｰ,ﾐﾂﾄﾞﾅｲﾄ,2031C671_402,LIMOﾋｰﾄﾌﾘｰｽﾊﾟﾝﾂ,ﾐﾂﾄﾞﾅｲﾄ,,,,1011B025_600,HYPER SPEED,SUNRISE RED,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C671_402,LIMOﾋｰﾄﾌﾘｰｽﾊﾟﾝﾂ,ﾐﾂﾄﾞﾅｲﾄ,2031C670_402,LIMOﾋｰﾄﾌﾘｰｽﾌｰﾃﾞｲｰ,ﾐﾂﾄﾞﾅｲﾄ,,,,1011B025_600,HYPER SPEED,SUNRISE RED,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031A898_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰJKT,ﾋﾟｰｺｰﾄ/BWH,2031A899_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ/BWH,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031A899_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ/BWH,2031A898_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰJKT,ﾋﾟｰｺｰﾄ/BWH,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C691_400,CAｳﾗﾄﾘｺﾂﾄWBｼﾞﾔｹﾂﾄ,ﾋﾟｰｺｰﾄﾓｸ,2031C692_400,CAｳﾗﾄﾘｺﾂﾄWBﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C692_400,CAｳﾗﾄﾘｺﾂﾄWBﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,2031C691_400,CAｳﾗﾄﾘｺﾂﾄWBｼﾞﾔｹﾂﾄ,ﾋﾟｰｺｰﾄﾓｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C693_400,CAｳｵｰﾏｰﾌｰﾃﾞｲｰ,ﾋﾟｰｺｰﾄﾓｸ,2031C694_400,CAｳｵｰﾏｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C694_400,CAｳｵｰﾏｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,2031C693_400,CAｳｵｰﾏｰﾌｰﾃﾞｲｰ,ﾋﾟｰｺｰﾄﾓｸ,,,,1011B025_001,HYPER SPEED,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
