GENDER,CATEGORY,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE,,
MEN,TRAINING,2031C668_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾌｰﾃﾞｲｰ,Pﾌﾞﾗﾂｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C669_001,LIMOﾄﾗｲﾌﾞﾘﾂﾄﾞﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C670_402,LIMOﾋｰﾄﾌﾘｰｽﾌｰﾃﾞｲｰ,ﾐﾂﾄﾞﾅｲﾄ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C671_402,LIMOﾋｰﾄﾌﾘｰｽﾊﾟﾝﾂ,ﾐﾂﾄﾞﾅｲﾄ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031A898_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰJKT,ﾋﾟｰｺｰﾄ/BWH,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031A899_402,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ/BWH,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C691_400,CAｳﾗﾄﾘｺﾂﾄWBｼﾞﾔｹﾂﾄ,ﾋﾟｰｺｰﾄﾓｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C692_400,CAｳﾗﾄﾘｺﾂﾄWBﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C693_400,CAｳｵｰﾏｰﾌｰﾃﾞｲｰ,ﾋﾟｰｺｰﾄﾓｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C694_400,CAｳｵｰﾏｰﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄﾓｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C716_001,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰJKT ｽﾘﾑ,Pﾌﾞﾗﾂｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C716_100,ｳﾗﾄﾘｺﾂﾄﾌﾞﾚｰｶｰJKT ｽﾘﾑ,Bﾎﾜｲﾄ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C717_001,ｳﾗﾄﾘｺﾂﾄｳｲﾝﾄﾞﾊﾟﾝﾂ ｽﾘﾑ,Pﾌﾞﾗﾂｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
MEN,TRAINING,2031C688_001,CAｽｳｴﾂﾄﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large,,
